experiment_id,condition,replicate,substrate_uM,inhibitor_uM,initial_rate_uM_per_s,enzyme_uM,temperature_C,pH,expected_model,notes
INHIB_demo_001,inhibitor_0_uM,1,5,0,0.33809,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,2,5,0,0.31432,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,1,10,0,0.46727,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,2,10,0,0.48776,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,1,20,0,0.73565,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,2,20,0,0.66079,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,1,40,0,0.89018,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,2,40,0,0.89865,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,1,80,0,1.00744,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,2,80,0,1.05301,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,1,160,0,1.13083,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_0_uM,2,160,0,1.21287,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,1,5,5,0.27906,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,2,5,5,0.26207,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,1,10,5,0.42987,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,2,10,5,0.42429,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,1,20,5,0.67292,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,2,20,5,0.62914,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,1,40,5,0.83686,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,2,40,5,0.86683,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,1,80,5,0.95708,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,2,80,5,0.97535,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,1,160,5,0.9983,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_5_uM,2,160,5,1.03346,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,1,5,20,0.18311,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,2,5,20,0.1935,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,1,10,20,0.34591,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,2,10,20,0.32644,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,1,20,20,0.51977,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,2,20,20,0.51757,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,1,40,20,0.75381,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,2,40,20,0.74773,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,1,80,20,0.91016,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,2,80,20,0.86008,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,1,160,20,1.0681,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_20_uM,2,160,20,1.04505,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,1,5,80,0.09372,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,2,5,80,0.08563,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,1,10,80,0.17857,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,2,10,80,0.15682,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,1,20,80,0.30545,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,2,20,80,0.2843,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,1,40,80,0.44654,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,2,40,80,0.4335,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,1,80,80,0.65803,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,2,80,80,0.70447,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,1,160,80,0.884,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
INHIB_demo_001,inhibitor_80_uM,2,160,80,0.87927,0.12,25,7.5,competitive_inhibition,Generic inhibition example with multiple inhibitor concentrations.
